on, U, U2, U', D, D2, D', L, L2, L', R, R2, R', F, F2, F', B, B2, B', 
0: 0, 0, 0, 0, 0, 0, 3, 2, 5, 18, 21, 12, 0, 1, 1, 16, 6, 22, 
1: 1, 1, 1, 1, 1, 1, 3, 4, 5, 18, 15, 12, 0, 0, 1, 17, 7, 23, 
2: 2, 2, 2, 2, 2, 2, 3, 0, 5, 20, 23, 14, 0, 3, 1, 16, 12, 22, 
3: 3, 3, 3, 3, 3, 3, 3, 5, 5, 18, 9, 12, 0, 2, 1, 17, 13, 23, 
4: 4, 4, 4, 4, 4, 4, 3, 1, 5, 20, 17, 14, 0, 5, 1, 16, 18, 22, 
5: 5, 5, 5, 5, 5, 5, 3, 3, 5, 20, 11, 14, 0, 4, 1, 17, 19, 23, 
6: 6, 6, 6, 6, 6, 6, 3, 8, 5, 18, 19, 12, 6, 7, 7, 16, 0, 22, 
7: 7, 7, 7, 7, 7, 7, 3, 10, 5, 18, 13, 12, 6, 6, 7, 17, 1, 23, 
8: 8, 8, 8, 8, 8, 8, 3, 6, 5, 20, 22, 14, 0, 9, 1, 16, 14, 22, 
9: 9, 9, 9, 9, 9, 9, 9, 11, 11, 18, 3, 12, 0, 8, 1, 17, 15, 23, 
10: 10, 10, 10, 10, 10, 10, 3, 7, 5, 20, 16, 14, 0, 11, 1, 16, 20, 22, 
11: 11, 11, 11, 11, 11, 11, 9, 9, 11, 20, 5, 14, 0, 10, 1, 17, 21, 23, 
12: 12, 12, 12, 12, 12, 12, 3, 14, 5, 18, 18, 12, 6, 13, 7, 16, 2, 22, 
13: 13, 13, 13, 13, 13, 13, 9, 16, 11, 18, 7, 12, 6, 12, 7, 17, 3, 23, 
14: 14, 14, 14, 14, 14, 14, 3, 12, 5, 20, 20, 14, 6, 15, 7, 16, 8, 22, 
15: 15, 15, 15, 15, 15, 15, 9, 17, 11, 18, 1, 12, 6, 14, 7, 17, 9, 23, 
16: 16, 16, 16, 16, 16, 16, 9, 13, 11, 20, 10, 14, 0, 17, 1, 16, 22, 22, 
17: 17, 17, 17, 17, 17, 17, 9, 15, 11, 20, 4, 14, 0, 16, 1, 17, 23, 23, 
18: 18, 18, 18, 18, 18, 18, 9, 20, 11, 18, 12, 12, 6, 19, 7, 16, 4, 22, 
19: 19, 19, 19, 19, 19, 19, 9, 22, 11, 18, 6, 12, 6, 18, 7, 17, 5, 23, 
20: 20, 20, 20, 20, 20, 20, 9, 18, 11, 20, 14, 14, 6, 21, 7, 16, 10, 22, 
21: 21, 21, 21, 21, 21, 21, 9, 23, 11, 18, 0, 12, 6, 20, 7, 17, 11, 23, 
22: 22, 22, 22, 22, 22, 22, 9, 19, 11, 20, 8, 14, 6, 23, 7, 16, 16, 22, 
23: 23, 23, 23, 23, 23, 23, 9, 21, 11, 20, 2, 14, 6, 22, 7, 17, 17, 23, 
code  step  
0	 0
1	 1
2	 1
3	 2
4	 2
5	 3
6	 1
7	 2
8	 2
9	 3
10	 3
11	 2
12	 2
13	 3
14	 3
15	 2
16	 4
17	 3
18	 3
19	 2
20	 2
21	 1
22	 3
23	 2
